,Mois,Qualité,Territoire,Production totale,Production nucléaire,Production thermique totale,Production thermique charbon,Production thermique fioul,Production thermique gaz,Production hydraulique,Production éolien,Production solaire,Production bio-énergies,Consommation totale,Solde exportateur,Echanges export,Echanges import,Echanges avec le Royaume-uni,Echanges avec l'Espagne,Echanges avec l'Italie,Echanges aves la Suisse,Echanges avec l'Allemagne et la Belgique
13,2010-01,Données consolidées,France,56542,40313.0,8801,2928.0,1690,4184,6307,688,10,423,56342,-489.0,4295.0,4784.0,-652.0,-358.0,1297.0,1613.0,-2390.0
14,2010-02,Données consolidées,France,50406,36316.0,6822,1893.0,1175,3754,5887,980,16,386,48698,1008.0,4709.0,3700.0,-497.0,-333.0,1628.0,1752.0,-1541.0
15,2010-03,Données consolidées,France,51071,35984.0,7250,1994.0,1275,3981,6204,1175,31,428,48294,2044.0,5506.0,3462.0,-365.0,-360.0,1784.0,2022.0,-1037.0
16,2010-04,Données consolidées,France,41693,31294.0,3568,1489.0,612,1467,5684,731,45,370,38637,2484.0,5196.0,2711.0,67.0,-337.0,1522.0,1900.0,-667.0
17,2010-05,Données consolidées,France,39847,29372.0,2843,1097.0,504,1242,6428,743,54,408,37284,2075.0,5221.0,3145.0,486.0,-147.0,1229.0,1287.0,-780.0
18,2010-06,Données consolidées,France,40217,29575.0,2366,681.0,463,1223,7263,581,55,378,34567,5187.0,6971.0,1783.0,979.0,11.0,1465.0,1578.0,1154.0
19,2010-07,Données consolidées,France,41064,31744.0,2953,1056.0,511,1386,5410,488,69,400,36031,4489.0,6811.0,2322.0,1013.0,32.0,1632.0,1412.0,400.0
20,2010-08,Données consolidées,France,39499,32391.0,1580,249.0,424,907,4348,684,74,421,33069,5796.0,6902.0,1105.0,1293.0,377.0,828.0,2021.0,1276.0
21,2010-09,Données consolidées,France,39218,31657.0,2965,1226.0,502,1236,3594,569,74,359,35104,3511.0,5642.0,2131.0,473.0,70.0,1329.0,1595.0,44.0
22,2010-10,Données consolidées,France,42116,31885.0,4713,1831.0,896,1986,4023,1075,58,361,40918,450.0,4723.0,4272.0,-353.0,-156.0,1274.0,1323.0,-1637.0
23,2010-11,Données consolidées,France,49444,35455.0,7024,1945.0,976,4103,5466,1010,32,456,46532,2212.0,5367.0,3155.0,195.0,-29.0,1400.0,1730.0,-1085.0
24,2010-12,Données consolidées,France,58966,41889.0,8598,2726.0,1416,4455,6985,1003,30,462,57600,685.0,5213.0,4528.0,387.0,-395.0,747.0,1268.0,-1322.0
25,2011-01,Données consolidées,France,58226,43853.0,6599,1271.0,947,4381,5981,1268,47,477,53873,3583.0,6504.0,2921.0,519.0,-227.0,1364.0,1984.0,-58.0
26,2011-02,Données consolidées,France,50392,38328.0,6553,1559.0,858,4136,4112,900,66,433,45937,3795.0,5928.0,2132.0,270.0,-192.0,1630.0,1960.0,127.0
27,2011-03,Données consolidées,France,50698,37688.0,6807,1502.0,858,4447,4431,1135,126,510,45543,4522.0,6767.0,2245.0,382.0,-399.0,1541.0,2226.0,772.0
28,2011-04,Données consolidées,France,41028,32850.0,2888,808.0,465,1615,3998,688,189,414,35442,4984.0,6283.0,1298.0,455.0,-171.0,1456.0,2160.0,1085.0
29,2011-05,Données consolidées,France,41071,33070.0,3228,1180.0,421,1626,3373,749,224,426,35107,5257.0,6312.0,1054.0,203.0,122.0,1338.0,2140.0,1455.0
30,2011-06,Données consolidées,France,40353,32589.0,1974,509.0,422,1043,4269,886,214,420,33771,5968.0,6819.0,851.0,561.0,354.0,1267.0,2074.0,1711.0
31,2011-07,Données consolidées,France,40905,33487.0,1672,221.0,429,1023,4174,839,248,484,34204,6058.0,6634.0,576.0,666.0,469.0,1019.0,2170.0,1734.0
32,2011-08,Données consolidées,France,38497,31383.0,1805,320.0,416,1070,3871,687,270,480,32625,5211.0,6040.0,829.0,598.0,606.0,778.0,2088.0,1142.0
33,2011-09,Données consolidées,France,38968,31477.0,2749,809.0,440,1500,3218,855,251,418,34230,4141.0,5244.0,1102.0,322.0,349.0,776.0,1953.0,743.0
34,2011-10,Données consolidées,France,42435,32824.0,4673,1689.0,565,2419,3256,1070,207,404,37977,3719.0,5969.0,2249.0,109.0,352.0,1636.0,2074.0,-451.0
35,2011-11,Données consolidées,France,46277,33705.0,7081,2065.0,961,4054,3937,945,120,488,41837,3756.0,5961.0,2205.0,-50.0,-100.0,1674.0,2191.0,42.0
36,2011-12,Données consolidées,France,53647,39864.0,5475,1061.0,861,3553,5646,2053,99,509,48241,4732.0,6922.0,2190.0,766.0,295.0,1601.0,2186.0,-116.0
37,2012-01,Données consolidées,France,57177,42811.0,5399,741.0,691,3967,6741,1587,125,514,51086,5371.0,7043.0,1672.0,929.0,724.0,1581.0,2195.0,-59.0
38,2012-02,Données consolidées,France,54419,38661.0,8721,2511.0,1309,4901,5244,1123,216,454,54476,-715.0,4504.0,5220.0,-798.0,-309.0,1244.0,1579.0,-2430.0
