,Mois,Qualité,Territoire,Production totale,Production nucléaire,Production thermique totale,Production thermique charbon,Production thermique fioul,Production thermique gaz,Production hydraulique,Production éolien,Production solaire,Production bio-énergies,Consommation totale,Solde exportateur,Echanges export,Echanges import,Echanges avec le Royaume-uni,Echanges avec l'Espagne,Echanges avec l'Italie,Echanges aves la Suisse,Echanges avec l'Allemagne et la Belgique
50,2013-01,Données définitives,Nouvelle-Aquitaine,5644,4801.0,187,,0,186,465,61,23,105,0,0.0,,,,,,,
51,2013-01,Données définitives,Auvergne-Rhône-Alpes,13119,9641.0,278,0.0,49,227,3047,66,14,71,0,0.0,,,,,,,
52,2013-01,Données définitives,Bourgogne-Franche-Comté,403,,244,75.0,0,168,121,21,2,13,0,0.0,,,,,,,
53,2013-01,Données définitives,Bretagne,246,,49,,1,48,56,118,3,18,0,0.0,,,,,,,
54,2013-01,Données définitives,Centre-Val de Loire,7965,7717.0,70,,2,67,24,122,3,27,0,,,,,,,,
55,2013-01,Données définitives,France,57739,42406.0,6301,2566.0,393,3342,6906,1326,146,654,53619,3484.0,6604.0,3120.0,493.0,91.0,1499.0,1666.0,-265.0
56,2013-01,Données définitives,Ile-de-France,870,,753,195.0,37,520,0,3,0,112,0,,,,,,,,
57,2013-01,Données définitives,Occitanie,3450,1853.0,76,,10,65,1214,208,34,63,0,,,,,,,,
58,2013-01,Données définitives,Normandie,8304,7473.0,677,392.0,47,238,15,87,1,48,0,,,,,,,,
59,2013-01,Données définitives,Hauts-de-France,4786,3660.0,797,118.0,0,678,1,267,1,57,0,,,,,,,,
60,2013-01,Données définitives,PACA,1941,,759,254.0,128,376,1079,12,38,52,0,,,,,,,,
61,2013-01,Données définitives,Pays-de-la-Loire,933,,817,600.0,22,193,1,75,7,30,0,,,,,,,,
63,2013-02,Données définitives,Nouvelle-Aquitaine,5313,4374.0,158,,6,152,570,70,42,96,0,0.0,,,,,,,
64,2013-02,Données définitives,Auvergne-Rhône-Alpes,11499,8309.0,233,0.0,56,175,2808,66,21,60,0,0.0,,,,,,,
65,2013-02,Données définitives,Bourgogne-Franche-Comté,378,,210,91.0,0,118,124,25,5,12,0,0.0,,,,,,,
66,2013-02,Données définitives,Bretagne,241,,45,,1,43,47,122,7,18,0,0.0,,,,,,,
67,2013-02,Données définitives,Centre-Val de Loire,7261,6992.0,57,,2,54,27,150,7,26,0,,,,,,,,
68,2013-02,Données définitives,France,52257,36754.0,6357,2667.0,397,3293,6858,1463,230,595,49639,2132.0,5850.0,3718.0,465.0,-306.0,1545.0,1563.0,-1135.0
69,2013-02,Données définitives,Ile-de-France,779,,668,141.0,41,484,0,3,2,105,0,,,,,,,,
70,2013-02,Données définitives,Occitanie,3491,1712.0,55,,-4,59,1406,209,53,55,0,,,,,,,,
71,2013-02,Données définitives,Normandie,7152,6322.0,678,370.0,44,263,11,89,3,45,0,,,,,,,,
72,2013-02,Données définitives,Hauts-de-France,4072,2956.0,776,106.0,0,668,1,283,4,50,0,,,,,,,,
73,2013-02,Données définitives,PACA,1817,,626,256.0,117,252,1085,12,46,47,0,,,,,,,,
74,2013-02,Données définitives,Pays-de-la-Loire,1046,,906,611.0,44,250,1,96,14,28,0,,,,,,,,
76,2013-03,Données définitives,Nouvelle-Aquitaine,5255,4399.0,155,,6,149,454,67,68,110,0,0.0,,,,,,,
77,2013-03,Données définitives,Auvergne-Rhône-Alpes,11129,8164.0,214,0.0,56,156,2582,62,34,70,0,0.0,,,,,,,
78,2013-03,Données définitives,Bourgogne-Franche-Comté,339,,209,83.0,0,124,84,21,10,13,0,0.0,,,,,,,
79,2013-03,Données définitives,Bretagne,249,,49,,2,47,50,120,10,19,0,0.0,,,,,,,
80,2013-03,Données définitives,Centre-Val de Loire,7083,6836.0,61,,2,59,16,125,11,31,0,,,,,,,,
81,2013-03,Données définitives,France,51882,36785.0,6270,2833.0,422,3015,6488,1352,344,642,49480,1733.0,6003.0,4270.0,566.0,-636.0,1170.0,1513.0,-880.0
